$ bash our_setting_new.sh
prepare save_statics for `assist2009` ...
question_low_fre    , num of item: 2694    , percent of all item: 15.18%
question_middle_fre , num of item: 10650   , percent of all item: 60.0%
question_high_fre   , num of item: 3551    , percent of all item: 20.0%
question_low_acc    , num of item: 3459    , percent of all item: 19.49%
question_middle_acc , num of item: 7394    , percent of all item: 41.65%
question_high_acc   , num of item: 6424    , percent of all item: 36.19%
question_zero_fre   , num of item: 856     , percent of all item: 4.822%
prepare save_statics for `ednet-kt1` ...
question_low_fre    , num of item: 2263    , percent of all item: 19.08%
question_middle_fre , num of item: 7115    , percent of all item: 60.0%
question_high_fre   , num of item: 2372    , percent of all item: 20.0%
question_low_acc    , num of item: 902     , percent of all item: 7.607%
question_middle_acc , num of item: 6403    , percent of all item: 54.0%
question_high_acc   , num of item: 4297    , percent of all item: 36.24%
question_zero_fre   , num of item: 108     , percent of all item: 0.9108%
prepare save_statics for `xes3g5m` ...
question_low_fre    , num of item: 1468    , percent of all item: 19.18%
question_middle_fre , num of item: 4591    , percent of all item: 60.0%
question_high_fre   , num of item: 1531    , percent of all item: 20.01%
question_low_acc    , num of item: 546     , percent of all item: 7.135%
question_middle_acc , num of item: 4779    , percent of all item: 62.45%
question_high_acc   , num of item: 2292    , percent of all item: 29.95%
question_zero_fre   , num of item: 62      , percent of all item: 0.8102%
prepare save_statics for `assist2012` ...
question_low_fre    , num of item: 8748    , percent of all item: 16.48%
question_middle_fre , num of item: 31854   , percent of all item: 60.0%
question_high_fre   , num of item: 10619   , percent of all item: 20.0%
question_low_acc    , num of item: 7897    , percent of all item: 14.87%
question_middle_acc , num of item: 30058   , percent of all item: 56.62%
question_high_acc   , num of item: 15004   , percent of all item: 28.26%
question_zero_fre   , num of item: 1870    , percent of all item: 3.522%
concept_low_fre     , num of item: 53      , percent of all item: 20.0%
concept_middle_fre  , num of item: 159     , percent of all item: 60.0%
concept_high_fre    , num of item: 53      , percent of all item: 20.0%
concept_low_acc     , num of item: 24      , percent of all item: 9.057%
concept_middle_acc  , num of item: 223     , percent of all item: 84.15%
concept_high_acc    , num of item: 18      , percent of all item: 6.792%
prepare save_statics for `assist2017` ...
question_low_fre    , num of item: 488     , percent of all item: 17.41%
